job_id,title,company_name,company_name_normalized,location,location_normalized,work_mode,posted_at,employment_type,seniority_level,offered_salary_min,offered_salary_max,offered_salary_currency,salary_period,salary_is_predicted,offered_salary_min_usd,offered_salary_max_usd,benefits,benefits_normalized,skill_score,semantic_score,score_total,matched_skills,status,apply_url,geocode_lat,geocode_lon
adzuna:5405339044,Photonics Engineering Program Manager,Apple,,"Cupertino, Santa Clara County",,onsite,2025-09-18,,,213354.02,213354.02,USD,yearly,,213354.02,213354.02,,,0.0,0.6573139578104019,0.4469,program management,new,https://www.adzuna.com/details/5405339044?utm_medium=api&utm_source=e1a466cc,37.322998,-122.032182
adzuna:5404985849,Senior Technical Program Manager,Microsoft Corporation,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,,,332138.2,332138.2,USD,yearly,,332138.2,332138.2,,,0.0,0.615489549934864,0.4322,"azure, security, compliance",new,https://www.adzuna.com/details/5404985849?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
adzuna:5404985850,Senior Technical Program Manager,Microsoft Corporation,,"Mountain View, Santa Clara County",,onsite,2025-09-18,,,296908.16,296908.16,USD,yearly,,296908.16,296908.16,,,0.0,0.615489549934864,0.4322,"azure, security, compliance",new,https://www.adzuna.com/details/5404985850?utm_medium=api&utm_source=e1a466cc,37.39308,-122.07702
adzuna:5404985892,Senior Technical Program Manager,Microsoft Corporation,,"Campbell, Santa Clara County",,onsite,2025-09-18,,,257318.72,257318.72,USD,yearly,,257318.72,257318.72,,,0.0,0.615489549934864,0.4322,"azure, security, compliance",new,https://www.adzuna.com/details/5404985892?utm_medium=api&utm_source=e1a466cc,37.304,-121.89093
adzuna:5404306335,Supply Chain Program Manager,Kelly Services,,"Sunnyvale, Santa Clara County",,onsite,2025-09-17,full_time,,124800.0,135200.0,USD,yearly,,124800.0,135200.0,medical,,0.0,0.5804780274629593,0.3941,"program management, product management",new,https://www.adzuna.com/details/5404306335?utm_medium=api&utm_source=e1a466cc,37.38953,-122.018391
adzuna:5404916704,"(Agile1) Program Manager, Expert",Axelon Services Corporation,,"Dublin, Alameda County",,hybrid,2025-09-18,,,146516.4,146516.4,USD,yearly,,146516.4,146516.4,,,0.0,0.5819692015647888,0.4205,program management,new,https://www.adzuna.com/details/5404916704?utm_medium=api&utm_source=e1a466cc,37.702152,-121.935792
adzuna:5403411694,Retail Sales Program Manager,Apex Service Partners,,"Dublin, Alameda County",,onsite,2025-09-17,full_time,,90000.0,120000.0,USD,yearly,,90000.0,120000.0,medical,,0.0,0.6251706033945084,0.4098,,new,https://www.adzuna.com/details/5403411694?utm_medium=api&utm_source=e1a466cc,37.686694,-121.892624
adzuna:5403327639,Sr. Technical Program Manager,LinkedIn,,"Mountain View, Santa Clara County",,onsite,2025-09-17,,,214925.06,214925.06,USD,yearly,,214925.06,214925.06,,,0.0,0.6448271572589874,0.4167,,new,https://www.adzuna.com/details/5403327639?utm_medium=api&utm_source=e1a466cc,37.39308,-122.07702
adzuna:5404984464,Supply Chain Program Manager,Kelly Services,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,,,116428.36,116428.36,USD,yearly,,116428.36,116428.36,medical,,0.0,0.5730840414762497,0.4174,"program management, product management",new,https://www.adzuna.com/details/5404984464?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
adzuna:5401628665,Staff Technical Program Manager,Uber,,"Sunnyvale, Santa Clara County",,onsite,2025-09-16,,,116489.23,116489.23,USD,yearly,,116489.23,116489.23,,,0.0,0.7161536067724228,0.4215,program management,new,https://www.adzuna.com/details/5401628665?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
adzuna:5403331229,Senior Subcontract Program Manager,Lockheed Martin,,"Sunnyvale, Santa Clara County",,onsite,2025-09-17,,,133991.36,133991.36,USD,yearly,,133991.36,133991.36,,,0.0,0.6592866480350494,0.4217,,new,https://www.adzuna.com/details/5403331229?utm_medium=api&utm_source=e1a466cc,37.376099,-122.02194
adzuna:5404787152,Program Manager - Supply Chain,Introlligent Inc.,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,,,95255.52,95255.52,USD,yearly,,95255.52,95255.52,,,0.132464,0.7119305580854416,0.5124,"Documentation, product management, program management, risk management, change management, agile",new,https://www.adzuna.com/details/5404787152?utm_medium=api&utm_source=e1a466cc,37.38953,-122.018391
adzuna:5405890234,Senior Subcontract Program Manager,Lockheed Martin,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,full_time,,166400.0,288305.0,USD,yearly,,166400.0,288305.0,,,0.0,0.65050008893013,0.4445,,new,https://www.adzuna.com/details/5405890234?utm_medium=api&utm_source=e1a466cc,37.38953,-122.018391
adzuna:5405313633,Space and Reporting Program Manager,Apple,,"Cupertino, Santa Clara County",,onsite,2025-09-18,,,127354.19,127354.19,USD,yearly,,127354.19,127354.19,,,0.0,0.669847309589386,0.4513,product management,new,https://www.adzuna.com/details/5405313633?utm_medium=api&utm_source=e1a466cc,37.322998,-122.032182
adzuna:5404992403,Technical Program Manager Hardware Quality,Cisco,,"Campbell, Santa Clara County",,onsite,2025-09-18,,,118705.69,118705.69,USD,yearly,,118705.69,118705.69,,,0.0,0.6480118036270142,0.4436,"program management, risk management",new,https://www.adzuna.com/details/5404992403?utm_medium=api&utm_source=e1a466cc,37.304,-121.89093
