job_id,title,company_name,company_name_normalized,score_total,skill_score,semantic_score,recency_score,seniority_component,matched_skills,base_extracted,resume_overlap,overlap_added,semantic_added,rationale_text,weights_snapshot,thresholds_snapshot,matching_snapshot,status,apply_url
adzuna:5402684313,Director of Supply Chain,Cypress HCM,,0.4203,0.0,0.6550692468881607,0.6065306597126334,1.0,compliance,compliance,,,,Skill match 0.00 | Contextual similarity 0.66 | Recency 0.61 | Seniority adj 1.00 | key=compliance,,,,new,https://www.adzuna.com/details/5402684313?utm_medium=api&utm_source=e1a466cc
adzuna:5403617385,"Associate I, Data and Billing",Association For Energy Affordability,,0.3842,0.0,0.552127305418253,0.6065306597126334,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.55 | Recency 0.61 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5403617385?utm_medium=api&utm_source=e1a466cc
adzuna:5403332651,"Sr Business Development Associate, Partner Management",Uber,,0.4064,0.0,0.6153812929987907,0.6065306597126334,1.0,"risk management, change management","risk management, change management",,,,Skill match 0.00 | Contextual similarity 0.62 | Recency 0.61 | Seniority adj 1.00 | key=risk management/change management,,,,new,https://www.adzuna.com/details/5403332651?utm_medium=api&utm_source=e1a466cc
adzuna:5401796738,"Senior Analyst, Sales Compensation Systems",Twilio Inc.,,0.3928,0.0,0.6342682242393494,0.4723665527410147,1.0,system design,system design,,,,Skill match 0.00 | Contextual similarity 0.63 | Recency 0.47 | Seniority adj 1.00 | key=system design,,,,new,https://www.adzuna.com/details/5401796738?utm_medium=api&utm_source=e1a466cc
adzuna:5405986507,"Math Curriculum Designer, Assessment Focus",IXL Learning,,0.4291,0.0,0.6063842177391052,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.61 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5405986507?utm_medium=api&utm_source=e1a466cc
adzuna:5401628706,E-commerce Merchant Ops Product Support Manager,US Tech Solutions,,0.3958,0.0,0.6428082883358002,0.4723665527410147,1.0,"onboarding, product management, risk management, change management, compliance","product management, risk management, change management, compliance, onboarding",onboarding,,,Skill match 0.00 | Contextual similarity 0.64 | Recency 0.47 | Seniority adj 1.00 | prov=resume:1 | key=onboarding/product management/risk management/change management/compliance,,,,new,https://www.adzuna.com/details/5401628706?utm_medium=api&utm_source=e1a466cc
adzuna:5404767282,Procurement Market Intelligence Manager,"Metasys Technologies, Inc.",,0.4553,0.0,0.6812301427125931,0.7788007830714049,1.0,"data analysis, analytics","data analysis, analytics",,,,Skill match 0.00 | Contextual similarity 0.68 | Recency 0.78 | Seniority adj 1.00 | key=data analysis/analytics,,,,new,https://www.adzuna.com/details/5404767282?utm_medium=api&utm_source=e1a466cc
adzuna:5403596720,Staff - Senior Registered Nurse (RN) - Hospice - $72K-95K per year,Gentiva,,0.4125,0.0,0.6329310834407806,0.6065306597126334,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.63 | Recency 0.61 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5403596720?utm_medium=api&utm_source=e1a466cc
adzuna:5404125187,Staff - Senior Registered Nurse (RN) - Hospice - $72K-95K per year,Gentiva,,0.4125,0.0,0.6329310834407806,0.6065306597126334,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.63 | Recency 0.61 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5404125187?utm_medium=api&utm_source=e1a466cc
adzuna:5404873823,USA Program & Project Scheduling Director (San Francisco),ZipRecruiter,,0.4488,0.0,0.6627547740936279,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.66 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5404873823?utm_medium=api&utm_source=e1a466cc
adzuna:5401796671,Senior Therapist,Alameda County Health,,0.3569,0.0,0.5314801260828972,0.4723665527410147,1.0,monitoring,monitoring,,,,Skill match 0.00 | Contextual similarity 0.53 | Recency 0.47 | Seniority adj 1.00 | key=monitoring,,,,new,https://www.adzuna.com/details/5401796671?utm_medium=api&utm_source=e1a466cc
adzuna:5405018209,Senior Embedded Software Engineer - Platform 1,Zipline,,0.435,0.0,0.6233088597655296,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.62 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/land/ad/5405018209?se=eHP0ifWU8BGiM5twZbwYxg&utm_medium=api&utm_source=e1a466cc&v=C0EB9965505BC5E1049A9C6674E89B4AA337A520
adzuna:5401395658,"Product Lead, Matter Management, Legal (San Francisco)",Uber,,0.3989,0.0,0.6515787243843079,0.4723665527410147,1.0,"product management, program management, risk management","product management, program management, risk management",,,,Skill match 0.00 | Contextual similarity 0.65 | Recency 0.47 | Seniority adj 1.00 | key=product management/program management/risk management,,,,new,https://www.adzuna.com/details/5401395658?utm_medium=api&utm_source=e1a466cc
adzuna:5401399977,Senior Engineering Manager - Identity (San Francisco),Amazon,,0.4055,0.0,0.6705128252506256,0.4723665527410147,1.0,power bi,power bi,,,,Skill match 0.00 | Contextual similarity 0.67 | Recency 0.47 | Seniority adj 1.00 | key=power bi,,,,new,https://www.adzuna.com/details/5401399977?utm_medium=api&utm_source=e1a466cc
adzuna:5403186741,Site Safety and Operations Coordinator,Boys & Girls Clubs of San Leandro,,0.4016,0.0,0.6018810421228409,0.6065306597126334,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.60 | Recency 0.61 | Seniority adj 1.00,,,,new,https://www.adzuna.com/land/ad/5403186741?se=eHP0ifWU8BGiM5twZbwYxg&utm_medium=api&utm_source=e1a466cc&v=7F14B6FB12480DA004F5FC6F5C7844CD9CBBA182
adzuna:5405267524,Best Buy Teen Tech Center Coordinator,San Leandro Boys & Girls Club,,0.4246,0.0,0.5936519652605057,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.59 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5405267524?utm_medium=api&utm_source=e1a466cc
adzuna:5401381137,"Fitness Instructor (Part Time, In-Person)",Concorde Education,,0.3941,0.0,0.6378913819789886,0.4723665527410147,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.64 | Recency 0.47 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5401381137?utm_medium=api&utm_source=e1a466cc
adzuna:5401304474,Senior GIS Project Manager,Pacific Gas And Electric Company,,0.4045,0.0,0.6674685180187225,0.4723665527410147,1.0,"program management, risk management","program management, risk management",,,,Skill match 0.00 | Contextual similarity 0.67 | Recency 0.47 | Seniority adj 1.00 | key=program management/risk management,,,,new,https://www.adzuna.com/details/5401304474?utm_medium=api&utm_source=e1a466cc
adzuna:5401381148,"Fitness Instructor (Part Time, In-Person)",Concorde Education,,0.3941,0.0,0.6378913819789886,0.4723665527410147,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.64 | Recency 0.47 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5401381148?utm_medium=api&utm_source=e1a466cc
adzuna:5404776182,Principal Contract Manager,"Metasys Technologies, Inc.",,0.4482,0.0,0.661085844039917,0.7788007830714049,1.0,"compliance, monitoring","compliance, monitoring",,,,Skill match 0.00 | Contextual similarity 0.66 | Recency 0.78 | Seniority adj 1.00 | key=compliance/monitoring,,,,new,https://www.adzuna.com/details/5404776182?utm_medium=api&utm_source=e1a466cc
adzuna:5404776204,Expert Contract Manager,"Metasys Technologies, Inc.",,0.4465,0.0,0.656117171049118,0.7788007830714049,1.0,"compliance, monitoring","compliance, monitoring",,,,Skill match 0.00 | Contextual similarity 0.66 | Recency 0.78 | Seniority adj 1.00 | key=compliance/monitoring,,,,new,https://www.adzuna.com/details/5404776204?utm_medium=api&utm_source=e1a466cc
adzuna:5403028680,Senior Executive Director (San Francisco),YMCA of Greater San Francisco,,0.3954,0.0,0.5840077102184296,0.6065306597126334,1.0,"program management, risk management, change management","program management, risk management, change management",,,,Skill match 0.00 | Contextual similarity 0.58 | Recency 0.61 | Seniority adj 1.00 | key=program management/risk management/change management,,,,new,https://www.adzuna.com/details/5403028680?utm_medium=api&utm_source=e1a466cc
adzuna:5404917378,Principal Contract Manager,Axelon Services Corporation,,0.4347,0.0,0.6224197000265121,0.7788007830714049,1.0,"compliance, monitoring","compliance, monitoring",,,,Skill match 0.00 | Contextual similarity 0.62 | Recency 0.78 | Seniority adj 1.00 | key=compliance/monitoring,,,,new,https://www.adzuna.com/details/5404917378?utm_medium=api&utm_source=e1a466cc
adzuna:5404289287,Front Desk Receptionist | SF Nob Hill,European Wax Center,,0.3809,0.0,0.5427183955907822,0.6065306597126334,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.54 | Recency 0.61 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5404289287?utm_medium=api&utm_source=e1a466cc
adzuna:5404832305,"Director, Partner Enablement",Freshworks,,0.4572,0.0,0.6867798566818237,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.69 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/details/5404832305?utm_medium=api&utm_source=e1a466cc
adzuna:5404378622,"Critical Infrastructure Fire Protection Engineer (Field Engineering), DCC Communities","Amazon Web Services, Inc.",,0.4045,0.0,0.6099378615617752,0.6065306597126334,1.0,"data analysis, aws","data analysis, aws",,,,Skill match 0.00 | Contextual similarity 0.61 | Recency 0.61 | Seniority adj 1.00 | key=data analysis/aws,,,,new,https://www.adzuna.com/land/ad/5404378622?se=eHP0ifWU8BGiM5twZbwYxg&utm_medium=api&utm_source=e1a466cc&v=8A9257E29D90F8E52F5CCEEFD0F53C1448491A23
adzuna:5405133326,Events Management Analyst,JPMorgan Chase & Co.,,0.4194,0.0,0.5787695348262787,0.7788007830714049,1.0,risk management,risk management,,,,Skill match 0.00 | Contextual similarity 0.58 | Recency 0.78 | Seniority adj 1.00 | key=risk management,,,,new,https://www.adzuna.com/details/5405133326?utm_medium=api&utm_source=e1a466cc
adzuna:5406043428,Events Management Analyst,JPMorganChase,,0.4198,0.0,0.5799190104007721,0.7788007830714049,1.0,risk management,risk management,,,,Skill match 0.00 | Contextual similarity 0.58 | Recency 0.78 | Seniority adj 1.00 | key=risk management,,,,new,https://www.adzuna.com/details/5406043428?utm_medium=api&utm_source=e1a466cc
adzuna:5405783504,"Travel Nurse RN - Labor and Delivery - $3,247 per week",Triage Staffing,,0.4139,0.0,0.562955766916275,0.7788007830714049,1.0,,,,,,Skill match 0.00 | Contextual similarity 0.56 | Recency 0.78 | Seniority adj 1.00,,,,new,https://www.adzuna.com/land/ad/5405783504?se=eHP0ifWU8BGiM5twZbwYxg&utm_medium=api&utm_source=e1a466cc&v=19502DA522F4F4100BFF2A1C8FDF36F726145CF2
